1Q82,01/01/82,03/31/82,03.5
2Q82,04/01/82,06/30/82,04.5
3Q82,07/01/82,09/30/82,05.5
4Q82,10/01/82,12/31/82,05.5
1983,01/01/83,12/31/99,99.9
